
Non-selected data

  cod  gap   e0   1    2    3    4    5    6    7    8    9   10  sti
  49    1    0    1    1    1    1    1    1    1    0    0    0    7 
  50    0    0    1    1    1    1    1    1    1    1    1    1   10 
  51    0    0    1    1    1    1    1    1    1    1    1    1   10 
  52    1    0    0    0    1    1    1    1    1    1    1    1    8 
  53    1    0    1    1    1    1    1    1    1    0    0    0    7 
  54    0    0    1    1    1    1    1    1    1    1    1    1   10 
  55    0    0    1    1    1    1    1    1    1    1    1    1   10 
  56    0    0    1    1    1    1    1    1    1    1    1    1   10 
  57    1    0    1    1    1    1    1    0    0    0    0    0    5 
  58    0    0    1    1    1    1    1    1    1    1    1    1   10 
  59    0    0    1    1    1    1    1    1    1    1    1    1   10 
  60    1    0    1    1    1    1    1    0    0    0    0    0    5 
  61    0    0    1    1    1    1    1    1    1    1    1    1   10 
  62    2    0    0    1    1    1    1    1    1    1    1    0    8 
  63    0    0    1    1    1    1    1    1    1    1    1    1   10 
  64    1    0    1    1    1    1    1    1    1    1    0    0    8 
  65    0    0    1    1    1    1    1    1    1    1    1    1   10 
  66    1    0    1    1    1    1    1    1    1    0    0    0    7 
  67    0    0    1    1    1    1    1    1    1    1    1    1   10 
  68    1    0    1    1    1    1    0    0    0    0    0    0    4 
  69    1    0    1    1    1    1    1    1    1    1    1    0    9 
  70    0    0    1    1    1    1    1    1    1    1    1    1   10 
  71    1    0    1    1    1    1    0    0    0    0    0    0    4 
  72    0    0    1    1    1    1    1    1    1    1    1    1   10 
  73    0    0    1    1    1    1    1    1    1    1    1    1   10 
  74    1    0    1    1    1    1    1    1    1    0    0    0    7 
  75    1    0    1    1    1    1    1    1    1    1    1    0    9 
  76    0    0    1    1    1    1    1    1    1    1    1    1   10 
  77    1    0    1    1    1    1    1    1    1    1    1    0    9 
  78    0    0    1    1    1    1    1    1    1    1    1    1   10 
  79    1    0    1    1    1    1    0    0    0    0    0    0    4 
  80    0    0    1    1    1    1    1    1    1    1    1    1   10 
  81    0    0    1    1    1    1    1    1    1    1    1    1   10 
  82    0    0    1    1    1    1    1    1    1    1    1    1   10 
  83    2    0    0    1    1    1    1    1    1    1    0    0    7 
  84    1    0    1    1    1    0    0    0    0    0    0    0    3 
  85    2    0    0    0    1    1    1    1    0    0    0    0    4 
  86    0    0    1    1    1    1    1    1    1    1    1    1   10 
  87    2    0    0    0    1    1    1    0    0    0    0    0    3 
  88    0    0    1    1    1    1    1    1    1    1    1    1   10 
  89    0    0    1    1    1    1    1    1    1    1    1    1   10 
  90    0    0    1    1    1    1    1    1    1    1    1    1   10 
  91    0    0    1    1    1    1    1    1    1    1    1    1   10 
  92    0    0    1    1    1    1    1    1    1    1    1    1   10 
  93    0    0    1    1    1    1    1    1    1    1    1    1   10 
  94    1    0    1    1    1    1    1    1    1    1    1    0    9 
  95    0    0    1    1    1    1    1    1    1    1    1    1   10 
  96    0    0    1    1    1    1    1    1    1    1    1    1   10 
  97    1    0    1    1    1    0    0    0    0    0    0    0    3 
  98    1    0    0    1    1    1    1    1    1    1    1    1    9 
  99    1    0    0    0    0    0    0    0    1    1    1    1    4 
 100    2    0    0    0    0    0    0    0    1    1    1    0    3 
 101    1    0    0    0    0    0    0    0    1    1    1    1    4 
 102    1    0    0    0    0    0    0    0    1    1    1    1    4 
 103    1    0    0    0    0    0    0    0    0    1    1    1    3 
 104    1    0    0    0    0    0    0    0    0    1    1    1    3 
 105    1    0    1    1    1    1    1    1    1    1    1    0    9 
 106    1    0    1    1    1    1    1    1    1    1    0    0    8 
 107    1    0    1    1    1    1    1    1    1    1    1    0    9 
 108    1    0    1    1    1    1    1    1    1    1    1    0    9 
 109    1    0    1    1    1    1    1    1    1    1    1    0    9 
 110    1    0    1    1    1    1    1    1    1    1    1    0    9 
 111    1    0    1    1    1    1    1    1    1    1    1    0    9 
 112    1    0    1    1    1    1    1    1    1    1    0    0    8 
 113    1    0    1    1    1    1    1    1    1    1    1    0    9 
 114    1    0    1    1    1    1    1    1    1    1    1    0    9 
 115    1    0    1    1    1    1    1    1    1    1    1    0    9 
 116    2    0    0    1    1    1    1    1    1    1    1    0    8 
 117    2    0    0    0    0    0    1    1    1    1    1    0    5 
 118    2    0    0    0    0    0    0    1    1    1    1    0    4 
 119    2    0    0    0    0    0    0    1    1    1    1    0    4 
 120    1    0    0    0    0    0    0    1    1    1    1    1    5 
 121    1    0    0    0    0    0    0    1    1    1    1    1    5 
 122    2    0    0    0    0    0    0    1    1    1    1    0    4 
 123    1    0    0    0    0    0    0    1    1    1    1    1    5 
 124    1    0    0    0    0    0    0    1    1    1    1    1    5 
 125    1    0    0    0    0    0    0    1    1    1    1    1    5 
 126    1    0    0    0    0    0    0    1    1    1    1    1    5 
 127    1    0    0    0    0    0    0    1    1    1    1    1    5 
 128    1    0    0    0    0    0    0    1    1    1    1    1    5 
 129    1    0    0    0    0    0    0    1    1    1    1    1    5 
 130    1    0    0    0    0    0    0    1    1    1    1    1    5 
 131    1    0    0    0    0    0    0    1    1    1    1    1    5 
 132    1    0    0    0    0    0    0    1    1    1    1    1    5 
 133    1    0    0    0    0    0    0    0    1    1    1    1    4 
 134    2    0    0    0    0    0    0    0    1    1    1    0    3 
 135    1    0    0    0    0    0    0    0    1    1    1    1    4 
 136    1    0    0    0    0    0    0    1    1    1    1    1    5 
 137    2    0    0    0    0    0    0    1    1    1    1    0    4 
 138    1    0    0    0    0    0    0    0    1    1    1    1    4 
 139    1    0    0    0    0    0    0    0    0    1    1    1    3 
 140    1    0    0    0    0    0    0    1    1    1    1    1    5 
 141    1    0    1    1    1    1    1    1    1    1    1    0    9 
 142    0    0    1    1    1    1    1    1    1    1    1    1   10 
 143    0    0    1    1    1    1    1    1    1    1    1    1   10 
 144    1    0    0    1    1    1    1    1    1    1    1    1    9 
 145    0    0    1    1    1    1    1    1    1    1    1    1   10 
 146    1    0    0    0    0    0    0    1    1    1    1    1    5 
 147    1    0    0    0    0    0    0    1    1    1    1    1    5 
 148    1    0    0    0    0    0    0    1    1    1    1    1    5 
 149    1    0    0    0    0    0    0    1    1    1    1    1    5 
 150    1    0    0    0    0    0    0    1    1    1    1    1    5 
 151    0    0    1    1    1    1    1    1    1    1    1    1   10 
 152    1    0    0    0    0    0    0    1    1    1    1    1    5 
 153    1    0    0    0    0    0    0    1    1    1    1    1    5 
 154    1    0    0    0    0    0    0    1    1    1    1    1    5 
 155    1    0    0    0    0    0    0    1    1    1    1    1    5 
 156    1    0    0    0    0    0    0    1    1    1    1    1    5 
 157    1    0    1    1    1    1    1    1    1    1    1    0    9 
 158    0    0    1    1    1    1    1    1    1    1    1    1   10 
 159    0    0    1    1    1    1    1    1    1    1    1    1   10 
 160    1    0    1    1    1    1    1    1    1    1    1    0    9 
 161    0    0    1    1    1    1    1    1    1    1    1    1   10 
 162    0    0    1    1    1    1    1    1    1    1    1    1   10 
 163    1    0    1    1    1    1    1    1    0    0    0    0    6 
 164    1    0    1    1    1    1    1    1    1    1    1    0    9 
 165    0    0    1    1    1    1    1    1    1    1    1    1   10 
 166    0    0    1    1    1    1    1    1    1    1    1    1   10 
 167    0    0    1    1    1    1    1    1    1    1    1    1   10 
 168    0    0    1    1    1    1    1    1    1    1    1    1   10 
 169    2    0    0    0    0    0    0    0    1    1    1    0    3 
 170    2    0    0    0    0    0    0    0    1    1    1    0    3 
 171    0    0    1    1    1    1    1    1    1    1    1    1   10 
 172    0    0    1    1    1    1    1    1    1    1    1    1   10 
 173    0    0    1    1    1    1    1    1    1    1    1    1   10 
 174    0    0    1    1    1    1    1    1    1    1    1    1   10 
 175    0    0    1    1    1    1    1    1    1    1    1    1   10 
 176    1    0    0    0    1    1    1    1    1    1    1    1    8 
 177    1    0    0    0    0    0    0    0    0    1    1    1    3 
 178    1    0    0    0    0    0    0    0    0    1    1    1    3 
 179    1    0    1    1    1    1    1    1    1    0    0    0    7 
 180    0    0    1    1    1    1    1    1    1    1    1    1   10 
 181    0    0    1    1    1    1    1    1    1    1    1    1   10 
 182    1    0    1    1    1    0    0    0    0    0    0    0    3 
 183    1    0    1    1    1    0    0    0    0    0    0    0    3 
 184    0    0    1    1    1    1    1    1    1    1    1    1   10 
 185    1    0    1    1    1    0    0    0    0    0    0    0    3 
 186    1    0    1    1    1    0    0    0    0    0    0    0    3 
 187    1    0    1    1    1    1    1    1    0    0    0    0    6 
 188    0    0    1    1    1    1    1    1    1    1    1    1   10 
 189    1    0    1    1    1    1    0    0    0    0    0    0    4 
 190    0    0    1    1    1    1    1    1    1    1    1    1   10 
 191    1    0    1    1    1    1    1    1    1    1    1    0    9 
 192    1    0    0    0    1    1    1    1    1    1    1    1    8 
 193    0    0    1    1    1    1    1    1    1    1    1    1   10 
 194    0    0    1    1    1    1    1    1    1    1    1    1   10 
 195    1    0    1    1    1    1    1    1    1    1    0    0    8 
 196    0    0    1    1    1    1    1    1    1    1    1    1   10 
 197    1    0    0    1    1    1    1    1    1    1    1    1    9 
 198    1    0    0    1    1    1    1    1    1    1    1    1    9 
 199    1    0    0    1    1    1    1    1    1    1    1    1    9 
 200    1    0    0    1    1    1    1    1    1    1    1    1    9 
 201    1    0    0    0    0    0    0    0    1    1    1    1    4 
 202    1    0    0    0    0    0    0    0    1    1    1    1    4 
 203    1    0    0    0    0    0    0    0    1    1    1    1    4 
 204    1    0    0    0    0    0    0    0    1    1    1    1    4 
 205    1    0    1    1    1    1    1    0    0    0    0    0    5 
 206    0    0    1    1    1    1    1    1    1    1    1    1   10 
 207    1    0    1    1    1    1    1    1    1    0    0    0    7 
 208    0    0    1    1    1    1    1    1    1    1    1    1   10 
 209    0    0    1    1    1    1    1    1    1    1    1    1   10 
 210    0    0    1    1    1    1    1    1    1    1    1    1   10 
 211    0    0    1    1    1    1    1    1    1    1    1    1   10 
 212    0    0    1    1    1    1    1    1    1    1    1    1   10 
 213    0    0    1    1    1    1    1    1    1    1    1    1   10 
 214    1    0    0    0    0    0    0    0    0    1    1    1    3 
 215    1    0    0    0    0    0    0    0    0    1    1    1    3 
 216    0    0    1    1    1    1    1    1    1    1    1    1   10 
 217    0    0    1    1    1    1    1    1    1    1    1    1   10 
 218    0    0    1    1    1    1    1    1    1    1    1    1   10 
 219    0    0    1    1    1    1    1    1    1    1    1    1   10 
 220    1    0    1    1    1    1    0    0    0    0    0    0    4 
 221    0    0    1    1    1    1    1    1    1    1    1    1   10 
 222    0    0    1    1    1    1    1    1    1    1    1    1   10 
 223    2    0    0    1    1    1    0    0    0    0    0    0    3 
 224    2    0    0    1    1    1    1    1    1    0    0    0    6 
 225    2    0    0    1    1    1    1    1    1    1    1    0    8 
 226    2    0    0    0    1    1    1    1    1    1    0    0    6 
 227    1    0    0    0    1    1    1    1    1    1    1    1    8 
 228    2    0    0    0    1    1    1    0    0    0    0    0    3 
 229    1    0    0    0    0    0    1    1    1    1    1    1    6 
 230    1    0    0    0    0    0    0    1    1    1    1    1    5 
 231    1    0    0    0    0    0    0    1    1    1    1    1    5 
 232    1    0    1    1    1    1    1    0    0    0    0    0    5 
 233    1    0    1    1    1    1    1    0    0    0    0    0    5 
 234    1    0    1    1    1    1    1    0    0    0    0    0    5 
 235    1    0    1    1    1    0    0    0    0    0    0    0    3 
 236    1    0    1    1    1    1    1    0    0    0    0    0    5 
 237    1    0    1    1    1    1    1    0    0    0    0    0    5 
 238    1    0    1    1    1    1    1    0    0    0    0    0    5 
 239    1    0    1    1    1    0    0    0    0    0    0    0    3 
 240    1    0    1    1    1    1    1    0    0    0    0    0    5 
 241    1    0    1    1    1    1    1    0    0    0    0    0    5 
 242    1    0    1    1    1    1    1    0    0    0    0    0    5 
 243    1    0    1    1    1    0    0    0    0    0    0    0    3 
 244    1    0    1    1    1    1    1    0    0    0    0    0    5 
 245    1    0    1    1    1    1    1    0    0    0    0    0    5 
 246    1    0    1    1    1    1    1    0    0    0    0    0    5 
 247    1    0    1    1    1    1    1    0    0    0    0    0    5 
 248    1    0    1    1    1    1    1    0    0    0    0    0    5 
 249    1    0    1    1    1    1    1    0    0    0    0    0    5 
 250    1    0    1    1    1    1    1    0    0    0    0    0    5 
 251    1    0    1    1    1    1    1    0    0    0    0    0    5 
 252    1    0    1    1    1    1    1    0    0    0    0    0    5 
 253    1    0    1    1    1    0    0    0    0    0    0    0    3 
 254    1    0    1    1    1    0    0    0    0    0    0    0    3 
 255    1    0    1    1    1    1    1    0    0    0    0    0    5 
 256    1    0    1    1    1    1    1    0    0    0    0    0    5 
 257    1    0    1    1    1    0    0    0    0    0    0    0    3 
 258    1    0    1    1    1    1    1    1    1    1    1    0    9 
 259    1    0    1    1    1    1    1    1    1    1    0    0    8 
 260    1    0    1    1    1    1    1    1    1    1    1    0    9 
 261    2    0    0    0    0    0    1    1    1    1    1    0    5 
 262    1    0    1    1    1    1    1    1    1    1    1    0    9 
 263    1    0    1    1    1    1    1    1    1    0    0    0    7 
 264    1    0    1    1    1    1    1    1    1    1    1    0    9 
 265    1    0    1    1    1    1    1    1    1    1    1    0    9 
 266    1    0    1    1    1    1    1    1    1    1    1    0    9 
 267    1    0    1    1    1    1    1    1    1    1    1    0    9 
 268    1    0    1    1    1    1    0    0    0    0    0    0    4 
 269    1    0    1    1    1    1    1    1    1    1    1    0    9 
 270    1    0    1    1    1    1    1    1    1    1    1    0    9 
